


Start at 28-10-2015, 15:49:32

28-10-2015, 15:49:46cx=118, cy=28, region=F



Start at 28-10-2015, 15:51:10

28-10-2015, 15:57:21cx=211, cy=79, region=F
28-10-2015, 15:57:22cx=209, cy=79, region=F
28-10-2015, 15:57:23cx=194, cy=73, region=F
28-10-2015, 15:57:24cx=208, cy=79, region=F
28-10-2015, 15:57:25cx=194, cy=73, region=F
28-10-2015, 15:57:27cx=207, cy=79, region=F
28-10-2015, 15:57:28cx=208, cy=79, region=F
28-10-2015, 15:57:29cx=209, cy=79, region=F
28-10-2015, 15:57:30cx=207, cy=79, region=F
28-10-2015, 15:57:31cx=211, cy=79, region=F
28-10-2015, 15:57:32cx=203, cy=64, region=F
28-10-2015, 15:57:33cx=204, cy=65, region=F
28-10-2015, 15:57:34cx=192, cy=73, region=F
28-10-2015, 15:57:35cx=195, cy=73, region=F
28-10-2015, 15:57:36cx=210, cy=79, region=F
28-10-2015, 15:57:38cx=193, cy=73, region=F
28-10-2015, 15:57:39cx=210, cy=79, region=F
28-10-2015, 15:57:40cx=209, cy=79, region=F
28-10-2015, 15:57:41cx=209, cy=79, region=F
28-10-2015, 15:57:42cx=209, cy=79, region=F
28-10-2015, 15:57:43cx=208, cy=79, region=F
28-10-2015, 15:57:44cx=208, cy=79, region=F
28-10-2015, 15:57:45cx=207, cy=78, region=F
28-10-2015, 15:57:46cx=210, cy=79, region=F
28-10-2015, 15:57:47cx=207, cy=79, region=F
28-10-2015, 15:57:49cx=210, cy=79, region=F
28-10-2015, 15:57:50cx=207, cy=79, region=F
28-10-2015, 15:57:51cx=209, cy=79, region=F
28-10-2015, 15:57:52cx=213, cy=79, region=F
28-10-2015, 15:57:53cx=209, cy=79, region=F
28-10-2015, 15:57:54cx=210, cy=79, region=F
28-10-2015, 15:57:55cx=210, cy=79, region=F
28-10-2015, 15:57:56cx=207, cy=79, region=F
28-10-2015, 15:57:57cx=105, cy=118, region=L
28-10-2015, 15:57:58cx=222, cy=75, region=F
28-10-2015, 15:58:00cx=225, cy=85, region=F
28-10-2015, 15:58:01cx=223, cy=95, region=R
28-10-2015, 15:58:02cx=222, cy=95, region=F
28-10-2015, 15:58:03cx=223, cy=84, region=F
28-10-2015, 15:58:04cx=223, cy=84, region=F
28-10-2015, 15:58:05cx=224, cy=83, region=F
28-10-2015, 15:58:06cx=223, cy=84, region=F
28-10-2015, 15:58:07cx=223, cy=84, region=F
28-10-2015, 15:58:08cx=223, cy=84, region=F
28-10-2015, 15:58:10cx=223, cy=84, region=F
28-10-2015, 15:58:11cx=222, cy=83, region=F
28-10-2015, 15:58:12cx=222, cy=82, region=F
28-10-2015, 15:58:13cx=224, cy=83, region=F
28-10-2015, 15:58:14cx=202, cy=87, region=F
28-10-2015, 15:58:15cx=288, cy=35, region=R
28-10-2015, 15:58:16cx=288, cy=37, region=R
28-10-2015, 15:58:17cx=287, cy=35, region=R
28-10-2015, 15:58:18cx=289, cy=34, region=R
28-10-2015, 15:58:19cx=287, cy=34, region=R
